vendor_action,action,change_type,status,object_category,event_group
oauth_access.create,created,AAA,success,user,change_audit
oauth_access.destroy,deleted,AAA,success,user,change_audit
oauth_application.destroy,deleted,AAA,success,oauth_application,change_audit
oauth_application.transfer,modified,AAA,success,oauth_application,change_audit
public_key.create,created,AAA,success,public_key,change_audit
public_key.delete,deleted,AAA,success,public_key,change_audit
business.advanced_security_policy_update,modified,AAA,success,Policy Management,change_audit
business.clear_members_can_create_repos,modified,AAA,success,Policy Management,change_audit
business.referrer_override_enable,modified,AAA,success,Policy Management,change_audit
business.referrer_override_disable,modified,AAA,success,Policy Management,change_audit
business.update_member_repository_creation_permission,modified,AAA,success,Policy Management,change_audit
enterprise.config.lock_anonymous_git_access,modified,AAA,success,user,change_audit
enterprise.config.disable_anonymous_git_access,modified,AAA,success,user,change_audit
issue.update,modified,filesystem,success,issue,change_audit
issue_comment.update,modified,filesystem,success,issue,change_audit
issue.destroy,deleted,filesystem,success,issue,change_audit
org.async_delete,deleted,AAA,success,organization,change_audit
org.delete,deleted,AAA,success,organization,change_audit
pull_request.close,deleted,filesystem,success,pull_request,change_audit
pull_request.create,created,filesystem,success,pull_request,change_audit
pull_request.reopen,modified,filesystem,success,pull_request,change_audit
pull_request.merge,modified,filesystem,success,pull_request,change_audit
pull_request_review.submit,modified,filesystem,success,pull_request,change_audit
pull_request.ready_for_review,modified,filesystem,success,pull_request,change_audit
pull_request.converted_to_draft,modified,filesystem,success,pull_request,change_audit
user.failed_login,failure,,,,authentication
user.login,success,,,,authentication
oauth_application.revoke_all_tokens,modified,AAA,success,oauth_application,change_audit
oauth_application.revoke_tokens,modified,AAA,success,oauth_application,change_all
oauth_authorization.destroy,deleted,AAA,success,oauth_application,change_audit
oauth_application.generate_client_secret,created,AAA,success,oauth_application,change_audit
oauth_application.remove_client_secret,deleted,AAA,success,oauth_application,change_audit
public_key.verify,success,,,,authentication
hook.create,created,filesystem,success,hook,change_audit
hook.config_changed,modified,filesystem,success,hook,change_audit
hook.events_changed,modified,filesystem,success,hook,change_audit
hook.destroy,deleted,filesystem,success,hook,change_audit
config_entry.create,created,filesystem,success,business,change_audit
config_entry.destroy,deleted,filesystem,success,business,change_audit
protected_branch.create,created,filesystem,success,branch,change_audit
protected_branch.update_required_status_checks_enforcement_level,modified,filesystem,success,branch,change_audit
protected_branch.update_linear_history_requirement_enforcement_level,modified,filesystem,success,branch,change_audit
protected_branch.update_pull_request_reviews_enforcement_level,modified,filesystem,success,branch,change_audit
protected_branch.update_admin_enforced,modified,filesystem,success,branch,change_audit
protected_branch.update_signature_requirement_enforcement_level,modified,filesystem,success,branch,change_audit
org.update_member_repository_creation_permission,modified,filesystem,success,organization,change_audit
private_repository_forking.enable,modified,filesystem,success,organization,change_audit
config_entry.update,modified,filesystem,success,business,change_audit
private_repository_forking.disable,modified,filesystem,success,organization,change_audit
org.enable_member_team_creation_permission,modified,filesystem,success,organization,change_audit
email_role.create,created,AAA,success,user,change_audit
user.create,created,AAA,success,user,change_all
lockout.remove,modified,AAA,success,user,change_account
user.reset_password,modified,AAA,success,user,change_all
user.async_delete,deleted,filesystem,success,user,change_account
user.delete,deleted,AAA,success,user,change_account
org.add_member,modified,AAA,success,organization,change_account
org.advanced_security_policy_selected_member_enabled,modified,filesystem,success,organization,change_audit
oauth_application.create,created,filesystem,success,oauth_application,change_audit
user_default_label.destroy,deleted,AAA,success,user_default_label,change_audit
business.remove_organization,deleted,filesystem,success,organization,change_audit
repo.disk_archive,modified,filesystem,success,repo,change_audit
repo.destroy,deleted,filesystem,success,repo,change_audit
repo.create,created,filesystem,success,repo,change_audit
repo.change_merge_setting,modified,filesystem,success,repo,change_audit
repository_secret_scanning.disable,modified,filesystem,success,repo,change_audit
business.add_organization,created,filesystem,success,organization,change_audit
org.create,created,filesystem,success,organization,change_audit
oauth_authorization.create,created,AAA,success,oauth_application,change_audit
