vendor_action,event_group,action,change_type,object_attrs,object_category
workflows.completed_workflow_run,change_audit,modified,filesystem,workflow_run,Workflow
workflows.prepared_workflow_job,change_audit,created,filesystem,workflow_job,Workflow
workflows.created_workflow_run,change_audit,created,filesystem,workflow_run,Workflow
pull_request.create,change_all,created,filesystem,,Pull_request
repository_vulnerability_alert.create,alert,,,,
pull_request.close,change_all,modified,filesystem,,Pull_request
hook.create,change_all,created,filesystem,,Hook
repository_secret_scanning_push_protection.disable,change_all,modified,filesystem,repository_secret_scanning_push_protection,Repository
repository_vulnerability_alerts.enable,change_audit,modified,filesystem,repository_vulnerability_alerts,Repository
repository_dependency_graph.enable,change_all,modified,filesystem,repository_dependency_graph,Repository
repository_secret_scanning.enable,change_all,modified,filesystem,repository_secret_scanning,Repository
pull_request.reopen,change_all,restarted,filesystem,,Pull_request
org_credential_authorization.deauthorize,change_all,modified,AAA,org_credential_authorization,Organization
org.remove_member,change_account,modified,AAA,remove_member,Organization
org_credential_authorization.grant,change_all,modified,AAA,org_credential_authorization,Organization
workflows.enable_workflow,change_all,modified,filesystem,enable_workflow,Workflow
repo.actions_enabled,change_all,modified,filesystem,actions_enabled,Repository
repo.create,change_all,created,filesystem,,Repository
integration_installation.repositories_added,change_all,modified,filesystem,integration_installation,Repository
org.update_member,change_account,modified,AAA,update_member,Organization
repo.advanced_security_enabled,change_all,modified,filesystem,advanced_security_enabled,Repository
repo.change_merge_setting,change_all,modified,filesystem,change_merge_setting,Repository
repo.add_member,change_account,modified,AAA,add_member,Repository
repo.remove_member,change_account,modified,AAA,remove_member,Repository
repo.update_member,change_account,modified,AAA,update_member,Repository
org.add_member,change_account,modified,AAA,add_member,Organization
org.invite_member,change_account,modified,AAA,invite_member,Organization
org.block_user,change_account,modified,AAA,block_user,Organization
org.unblock_user,change_account,modified,AAA,unblock_user,Organization
org.integration_manager_added,change_account,modified,AAA,integration_manager_added,Organization
org.integration_manager_removed,change_account,modified,AAA,integration_manager_removed,Organization
org.oauth_app_access_approved,change_all,modified,AAA,oauth_app_access_approved,Organization
org.remove_outside_collaborator,change_account,modified,AAA,remove_outside_collaborator,Organization
org.restore_member,change_account,modified,AAA,restore_member,Organization
git.fetch,change_all,read,filesystem,,Repository
git.push,change_all,modified,filesystem,,Repository
git.clone,change_all,modified,filesystem,,Repository
issues.deletes_policy_cleared,change_audit,cleared,filesystem,deletes_policy_cleared,Issue
issues.deletes_disabled,change_all,modified,filesystem,deletes_disabled,Issue
issues.deletes_enabled,change_all,modified,filesystem,deletes_enabled,Issue
members_can_delete_repos.clear,change_all,cleared,filesystem,members_can_delete_repos,Repository
members_can_delete_repos.disable,change_all,modified,filesystem,members_can_delete_repos,Repository
members_can_delete_repos.enable,change_all,modified,filesystem,members_can_delete_repos,Repository
repository_visibility_change.clear,change_all,cleared,filesystem,repository_visibility_change,Repository
repository_visibility_change.disable,change_all,modified,filesystem,repository_visibility_change,Repository
repository_visibility_change.enable,change_all,modified,filesystem,repository_visibility_change,Repository
business.update_member_repository_invitation_permission,change_all,updated,filesystem,update_member_repository_invitation_permission,Enterprise
private_repository_forking.clear,change_all,cleared,filesystem,private_repository_forking,Repository
private_repository_forking.disable,change_all,modified,filesystem,private_repository_forking,Repository
private_repository_forking.enable,change_all,modified,filesystem,private_repository_forking,Repository
business.clear_members_can_create_repos,change_all,created,filesystem,clear_members_can_create_repos,Enterprise
business.update_member_repository_creation_permission,change_all,updated,filesystem,update_member_repository_creation_permission,Enterprise
pull_request.merge,change_all,modified,filesystem,,Pull_request
repository_vulnerability_alert.reopen,alert,,,,
pull_request.ready_for_review,change_all,read,filesystem,,Pull_request
business_secret_scanning_custom_pattern.delete,change_all,deleted,filesystem,business_secret_scanning_custom_pattern,Enterprise
business_secret_scanning_custom_pattern.update,change_all,updated,filesystem,business_secret_scanning_custom_pattern,Enterprise
business_secret_scanning_custom_pattern.create,change_all,created,filesystem,business_secret_scanning_custom_pattern,Enterprise
